fold,accuracy,precision_macro,recall_macro,f1_macro
1,0.9587467362924282,0.954257748358954,0.9682798324767902,0.9604249205920233
2,0.9621409921671018,0.9582999496914949,0.9705504046156276,0.9638038539494181
3,0.9535248041775457,0.9480205190554908,0.9645657221847385,0.9551220357986483
4,0.9566579634464752,0.951098096389242,0.9676184278808745,0.9581220082344473
5,0.9590078328981724,0.9540465777540831,0.9691246172691595,0.9606116539095922
avg,0.9580156657963446,0.953144578249853,0.9680278008854379,0.9596168944968259
